Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
K0026,K0026/Scope_2025_05_08_10_01_49,3.592,0.5,0.3,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_04_33,0.386,0.5,0.1,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_07_05,0.846,0.5,0.15,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_09_39,1.482,0.5,0.2,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_12_24,2.321,0.5,0.25,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_14_56,3.514,0.5,0.3,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_17_38,0.387,0.5,0.1,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_20_15,0.748,0.5,0.15,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_23_40,1.445,0.5,0.2,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_26_22,2.379,0.5,0.25,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_28_55,3.476,0.5,0.3,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_42_56,0.4,0.5,0.1,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_45_22,0.784,0.5,0.15,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_47_52,1.433,0.5,0.2,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_50_16,2.368,0.5,0.25,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_52_44,3.472,0.5,0.3,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_55_17,0.397,0.5,0.1,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_10_57_46,0.872,0.5,0.15,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_00_14,1.305,0.5,0.2,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_02_46,2.379,0.5,0.25,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_05_24,3.422,0.5,0.3,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_08_12,0.577,0.5,0.1,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_10_48,0.896,0.5,0.15,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_13_24,1.541,0.5,0.2,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_16_01,2.424,0.5,0.25,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_18_36,3.504,0.5,0.3,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_21_54,0.529,0.5,0.1,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_24_32,0.949,0.5,0.15,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_27_18,1.512,0.5,0.2,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_30_02,2.387,0.5,0.25,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_32_39,3.524,0.5,0.3,150.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_44_53,0.386,0.5,0.1,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_47_18,0.917,0.5,0.15,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_49_46,1.593,0.5,0.2,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_52_16,2.465,0.5,0.25,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_57_07,3.282,0.5,0.3,200.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_11_59_39,0.411,0.5,0.1,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_12_02_06,0.923,0.5,0.15,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_12_04_47,1.538,0.5,0.2,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_12_07_17,2.262,0.5,0.25,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_12_09_46,3.398,0.5,0.3,250.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_13_04_09,0.42,0.5,0.1,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_13_08_17,0.802,0.5,0.15,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_13_11_57,1.496,0.5,0.2,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_13_15_03,2.253,0.5,0.25,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_13_17_45,3.354,0.5,0.3,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_14_50,0.682,0.5,0.125,125.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_17_59,1.088,0.5,0.175,125.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_15_20_39,1.719,0.5,0.225,125.0,EN AW-6082,DNMG150608
